,ticker,Time,Close,5D,10D,20D,50D,100D,200D
0,TSLA,02:48:29,313.03,351.05,371.25,388.72,402.56,393.6,414.71
1,BAC,02:48:29,62.05,61.32,61.11,59.89,55.99,53.13,52.82
2,OSCR,02:48:29,28.19,29.4,29.82,30.26,27.29,21.24,18.68
3,SPY,02:48:29,738.93,742.98,746.47,746.15,744.11,714.13,695.43
4,GOOG,02:48:29,319.09,335.38,345.5,350.35,362.27,343.61,322.86
5,NET,02:48:30,262.15,267.64,271.26,263.08,241.88,224.45,211.95
6,MS,02:48:30,214.48,215.1,218.67,217.59,212.65,193.4,181.92
7,C,02:48:30,132.19,131.58,132.78,136.73,134.29,126.54,117.26
8,NVDA,02:48:30,206.84,207.65,207.63,203.33,209.11,199.57,192.72
9,MGM,02:48:30,45.54,45.61,46.18,46.83,45.18,41.32,37.87
10,NXST,02:48:30,183.31,182.86,181.75,179.12,179.5,193.98,197.85
11,SERV,02:48:31,4.81,5.15,5.34,5.78,7.03,8.1,9.95
12,USAR,02:48:31,14.15,15.23,16.04,17.78,21.64,20.83,20.08
13,KHC,02:48:31,25.67,25.73,25.65,25.15,23.98,23.11,23.3
14,MNST,02:48:31,93.49,94.53,96.27,96.56,92.46,84.29,79.88
15,UNH,02:48:31,420.74,426.7,425.58,424.96,406.62,359.23,339.86
16,GE,02:48:31,353.73,345.18,348.8,358.73,337.84,318.3,312.91
17,LOW,02:48:32,207.64,203.92,206.31,212.19,213.92,225.63,237.18
18,MDB,02:48:32,,,,,,,
19,DASH,02:48:32,172.91,179.49,183.55,186.33,170.94,168.59,193.07
20,PM,02:48:32,193.0,191.84,187.9,185.3,182.24,173.3,166.6
21,QSR,02:48:32,72.47,73.16,74.23,74.03,73.73,74.6,70.94
22,CDNS,02:48:32,326.24,333.66,348.93,362.82,372.32,339.31,327.7
23,INTU,02:48:33,296.33,289.21,288.38,279.28,298.26,355.8,471.86
24,PINS,02:48:33,22.13,22.44,22.74,22.37,21.12,20.23,23.09
25,XYZ,02:48:33,77.15,78.15,79.28,78.41,74.25,69.82,67.57
26,FIG,02:48:33,21.12,21.71,22.69,21.59,21.32,21.6,29.89
27,GLW,02:48:33,146.65,154.46,163.04,186.38,188.3,170.72,133.77
28,AAL,02:48:33,14.48,14.65,15.14,16.34,15.15,13.33,13.64
29,GLD,02:48:33,371.9,372.99,371.0,372.93,390.11,413.56,411.8
30,PLTR,02:48:34,122.92,127.67,130.27,127.9,131.61,138.56,154.29
31,CRWD,02:48:34,183.28,188.95,195.7,193.33,177.91,143.0,131.2
32,CMS,02:48:34,74.7,73.64,74.11,75.39,74.04,75.07,73.35
33,AMZN,02:48:34,232.11,241.63,245.5,243.84,249.22,241.4,234.59
34,SMCI,02:48:34,30.1,28.24,27.22,27.67,32.74,30.25,33.47
35,DIS,02:48:34,94.85,95.22,96.25,96.66,99.31,99.77,104.13
36,SCHW,02:48:35,101.97,101.38,101.75,99.65,93.79,93.34,94.84
37,PFE,02:48:35,24.54,24.47,24.4,24.05,24.72,25.42,24.9
38,YYAI,02:48:35,11.32,9.19,8.98,8.23,9.5,22.38,52.13
39,WDC,02:48:35,519.8,534.12,524.73,554.11,558.82,451.69,322.18
40,GLXY,02:48:35,22.68,24.17,23.7,24.88,28.16,25.82,27.12
41,IWM,02:48:36,291.17,293.18,293.93,295.86,290.89,276.34,263.68
